# Material properties for 3D printed concrete
# Each line includes: parameter name, value, uncertainty
# Units and explanations for each parameter are provided below:

parameter    value    uncertainty
differential_shrinkage_rate    0.005    0.001

# thermal_expansion_anisotropy: Anisotropic expansion coefficient 1/°C
# - Range: 0.0001 to 0.0005 1/°C
thermal_expansion_anisotropy    0.0002    5e-05

# fracture_toughness_parallel: Fracture toughness parallel to layers in MPa·m^0.5
# - Range: 0.5 to 1.5 MPa·m^0.5
fracture_toughness_parallel    1.0    0.1

# fracture_toughness_perpendicular: Fracture toughness perpendicular to layers in MPa·m^0.5
# - Range: 0.5 to 1.5 MPa·m^0.5
fracture_toughness_perpendicular    0.8    0.1

# interlayer_porosity: Porosity percentage at the interface (%)
# - Range: 1 to 5 %
interlayer_porosity    2.0    0.5

# fiber_orientation_anisotropy: Fiber alignment in anisotropic regions (dimensionless)
# - Range: 0.5 to 1
fiber_orientation_anisotropy    0.7    0.05

# micro_interlocking_potential: Interlocking level at interfaces (dimensionless)
# - Range: 0.5 to 1
micro_interlocking_potential    0.6    0.1

# curing_gradient_across_layers: Curing gradient between layers (dimensionless)
# - Range: 0.4 to 0.7
curing_gradient_across_layers    0.5    0.1

# interlayer_tensile_strength: Tensile strength across layers in MPa
# - Range: 0.4 to 1 MPa
interlayer_tensile_strength    0.6    0.05

# plasticity_index_interface: Plasticity index at the layer interface (dimensionless)
# - Range: 0.3 to 0.6
plasticity_index_interface    0.4    0.05

# modulus_gradient_interface: Gradient of elastic modulus across interfaces in MPa
# - Range: 2000 to 5000 MPa
modulus_gradient_interface    3000.0    200.0

# interlayer_bonding_energy: Bonding energy per area at interfaces in J/m²
# - Range: 1 to 5 J/m²
interlayer_bonding_energy    3.2    0.3

# interfacial_surface_roughness: Roughness of layer interfaces in µm
# - Range: 10 to 100 µm
interfacial_surface_roughness    50.0    5.0
